emp_id,base_salary,bonus_2025,stock_options_units,last_review_date,satisfaction_score
E101,145000,18000,2500,2024-12-15,4.5
E102,180000,32000,6000,2024-12-15,4.8
E103,95000,8000,1000,2024-12-20,4.0
E104,110000,12000,1500,2024-12-20,4.2
E105,160000,22000,4000,2024-12-18,4.6
E106,120000,10000,1800,2024-12-18,4.1
E107,85000,15000,800,2024-12-22,3.8
E108,210000,45000,8500,2024-12-22,4.9
E109,105000,9000,1200,2024-12-15,4.2
E110,98000,9500,1100,2024-12-10,4.3
E111,135000,14000,2200,2024-12-15,4.4
E112,190000,35000,7000,2024-12-18,4.7
